Catalog Number	Species	Collector	Collection Date	Location
389695	 Aplectrum hyemale 		 Orchidaceae	John A. Churchill, M.D.	s.n.: 05/30/1955
389698	1340422 Aplectrum hyemale 		 Orchidaceae	Lewis E. Foote	s.n.: 04/26/1862
389833	1340464 Arethusa bulbosa 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 05/25/1860
389834	 Arethusa bulbosa 		 Orchidaceae	Hattie M. Bailey	s.n.: 06/11/1893
389835	1340463 Arethusa bulbosa 		 Orchidaceae	John Wright	s.n.: 06/23/1838
389836	1340466 Arethusa bulbosa 		 Orchidaceae	Carl D. LaRue	s.n.: 05/29/1915
389837	1341124 Arethusa bulbosa 		 Orchidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
389838	 Arethusa bulbosa 		 Orchidaceae	J.A. Sanford	s.n.: 05/00/1874
389839	1340467 Arethusa bulbosa 		 Orchidaceae	Lewis E. Wehmeyer	s.n.: 05/23/1922
389840	1340465 Arethusa bulbosa 		 Orchidaceae	Robert Wolcott	s.n.: 06/11/1891
390043	1340600 Calopogon tuberosus 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/06/1860
390046	 Calopogon tuberosus 		 Orchidaceae	J.Q. Adams Fritchey	s.n.: 07/19/1858
390048	1340560 Calopogon tuberosus 		 Orchidaceae	Mark W. Harrington	s.n.: 07/02/1870
390049	 Calopogon tuberosus 		 Orchidaceae	Louis K. Ludwig	755: 07/03/1939
390054	1340597 Calopogon tuberosus 		 Orchidaceae	John Wright	s.n.: 06/23/1838
390143	1332809 Caulophyllum giganteum 		 Berberidaceae	Not evident	s.n.: 05/01/1870
390631	1340656 Corallorhiza maculata 		 Orchidaceae	Carl D. LaRue	s.n.: 07/17/1915
390632	1340654 Corallorhiza maculata 		 Orchidaceae	Carl D. LaRue	s.n.: 08/07/1915
390634	 Corallorhiza maculata 		 Orchidaceae	Louis K. Ludwig	1123: 08/19/1940
390681	 Corallorhiza odontorhiza 		 Orchidaceae	Warren H. Wagner, Jr.	8139: 09/13/1955
390682	1340785 Corallorhiza odontorhiza 		 Orchidaceae	Warren H. Wagner, Jr.	8139: 09/13/1955
391134	1340944 Corallorhiza trifida 		 Orchidaceae	Warren Lewis	s.n.: 00/00/1893
391272	1352336 Viola nephrophylla 		 Violaceae	Elizabeth C. Almendinger	s.n.: 00/00/1856
391414	1342063 Cypripedium acaule 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 05/27/1860
391415	1342057 Cypripedium acaule 		 Orchidaceae	Mary H. Clark	s.n.: 00/00/00
391421	1342059 Cypripedium acaule 		 Orchidaceae	Effie A. Southworth	s.n.: 05/28/1884
391422	1342064 Cypripedium acaule 		 Orchidaceae	Nathan H. Winchell	s.n.: 06/12/1862
391473	1352360 Viola odorata 		 Violaceae	Edward G. Voss	15655: 05/01/1984
388963	1332690 Malus sieboldii 		 Rosaceae	Beverly S. Walters	1083: 10/24/2008
388967	1332724 Philadelphus pubescens 		 Hydrangeaceae	Beverly S. Walters	1087: 06/14/2009
388968	1332694 Carex hirsutella 		 Cyperaceae	Beverly S. Walters	1088: 06/14/2009
388970	1332696 Boechera canadensis 		 Brassicaceae	Beverly S. Walters	1090: 07/05/2009
389125	1332624 Clematis terniflora 		 Ranunculaceae	Beverly S. Walters	1038: 10/03/2007
389127	1332709 Endodeca serpentaria 		 Aristolochiaceae	Beverly S. Walters	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
382197	1332808 Caulophyllum giganteum 		 Berberidaceae	Not evident	s.n.: 06/30/1862
382198	1332852 Caulophyllum thalictroides 		 Berberidaceae	Elizabeth C. Almendinger	s.n.: 05/01/1861
382199	1332830 Caulophyllum thalictroides 		 Berberidaceae	Jean Dawson	s.n.: 00/00/1903
392120	1342126 Cypripedium parviflorum 		 Orchidaceae	Lewis E. Foote	s.n.: 06/10/1862
392125	 Cypripedium parviflorum 		 Orchidaceae	Louis K. Ludwig	24: 06/11/1937
392127	 Cypripedium parviflorum 		 Orchidaceae	C. Marvin Rogers	4086: 06/06/1947
392184	1341968 Cypripedium candidum 		 Orchidaceae	Elizabeth C. Almendinger	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392185	1342271 Cypripedium candidum 		 Orchidaceae	E.J.D.	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392186	1491631 Cypripedium candidum 		? Orchidaceae	Lewis E. Foote	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392193	 Cypripedium candidum 		 Orchidaceae	Louis K. Ludwig	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392194	 Cypripedium candidum 		 Orchidaceae	C. Marvin Rogers	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392195	1475585 Cypripedium candidum 		 Orchidaceae	Edward G. Voss	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
392394	1342361 Cypripedium reginae 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 06/16/1860
392398	1342360 Cypripedium reginae 		 Orchidaceae	Nathan H. Winchell	s.n.: 06/21/1862
392399	1475229 Cypripedium reginae 		 Orchidaceae	John Wright	s.n.: 06/25/1838
392483	1342448 Epipactis helleborine 		 Orchidaceae	Anton A. Reznicek	4953: 08/10/1978
392762	1342523 Goodyera pubescens 		 Orchidaceae	Lewis E. Foote	s.n.: 08/18/1862
393030	1358437 Arabidopsis thaliana 		 Brassicaceae	Peter W. Fritsch	130: 04/19/1986
393984	1343048 Platanthera flava 		 Orchidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
394113	1343111 Platanthera hookeri 		 Orchidaceae	Not evident	s.n.: 07/00/1866
394114	1343113 Platanthera hookeri 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/09/1862
394116	1343086 Platanthera hookeri 		 Orchidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
394117	1343078 Platanthera hookeri 		 Orchidaceae	John Wright	s.n.: 06/23/1838
394119	1343076 Platanthera hookeri 		 Orchidaceae	John Wright	s.n.: 06/26/1838
394551	1358458 Boechera canadensis 		 Brassicaceae	John Wright	s.n.: 06/23/1838
394553	1358457 Boechera canadensis 		 Brassicaceae	Elizabeth C. Almendinger	s.n.: 06/16/1860
394554	1358459 Boechera canadensis 		 Brassicaceae	John H. Ehlers	1482: 06/07/1921
394557	1491645 Boechera canadensis 		 Brassicaceae	Lewis E. Foote	s.n.: 06/17/1862
394560	1358460 Boechera canadensis 		 Brassicaceae	Frederick J. Hermann	6811: 06/25/1935
393090	1358450 Arabidopsis thaliana 		 Brassicaceae	Frederick J. Hermann	63: 05/09/1926
393094	1358451 Arabidopsis thaliana 		 Brassicaceae	Frederick J. Hermann	8565: 05/21/1937
393814	1343329 Platanthera dilatata 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 05/27/1860
393980	 Platanthera flava 		 Orchidaceae	Mary H. Clark	s.n.: 00/00/00
394976	1343486 Platanthera psycodes 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/04/1861
394978	1343522 Platanthera psycodes 		 Orchidaceae	Mary H. Clark	s.n.: 06/30/1860
394981	1006512 Platanthera psycodes 		 Orchidaceae	John Wright	s.n.: 07/02/1838
395156	1484208 Coeloglossum viride 		 Orchidaceae	Not evident	s.n.: 07/00/1866
395157	1484167 Coeloglossum viride 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 06/24/1862
395158	1491626 Coeloglossum viride 		 Orchidaceae	Lewis E. Foote	s.n.: 05/22/1862
395160	 Coeloglossum viride 		 Orchidaceae	A.J. Pieters	s.n.: 05/07/1894
395161	1484207 Coeloglossum viride 		 Orchidaceae	A.J. Pieters	52: 05/30/1892
395206	 Liparis liliifolia 		 Orchidaceae	John A. Churchill, M.D.	s.n.: 05/29/1955
395207	1342646 Liparis liliifolia 		 Orchidaceae	Carl O. Grassl	2392: 06/08/1932
395539	1352761 Viola rostrata 		 Violaceae	Peter W. Fritsch	152: 05/03/1986
395726	1343193 Platanthera huronensis 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 06/11/1862
395866	1343235 Platanthera lacera 		 Orchidaceae	Not evident	s.n.: 00/00/00
395867	1343247 Platanthera lacera 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/17/1861
395916	1343277 Platanthera leucophaea 		 Orchidaceae	Elizabeth C. Almendinger	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
396046	1352723 Viola rostrata 		 Violaceae	Elizabeth C. Almendinger	418: 00/00/00
396047	1352721 Viola rostrata 		 Violaceae	S.H. Emerson	s.n.: 05/13/1925
396048	1352703 Viola rostrata 		 Violaceae	Carl O. Grassl	5255: 05/02/1933
396050	1352725 Viola rostrata 		 Violaceae	Mark W. Harrington	s.n.: 05/21/1873
396052	1352717 Viola rostrata 		 Violaceae	Carl D. LaRue	s.n.: 04/30/1915
396053	 Viola rostrata 		 Violaceae	A.J. Pieters	s.n.: 05/28/1892
396054	1352724 Viola rostrata 		 Violaceae	A.J. Pieters	s.n.: 05/08/1892
396055	 Viola rostrata 		 Violaceae	John H. Schaffner	s.n.: 00/00/1895
396060	1352706 Viola rostrata 		 Violaceae	George B. Sudworth	841: 05/17/1884
396061	1352718 Viola rostrata 		 Violaceae	A.R. Wheeler	219: 06/00/1882
396341	1341979 Liparis loeselii 		 Orchidaceae	Lewis E. Foote	s.n.: 07/01/1862
396721	1341982 Malaxis monophyllos 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/04/1860
396722	1342780 Malaxis monophyllos 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 07/04/1861
396879	1342376 Galearis spectabilis 		 Orchidaceae	Mark W. Harrington	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
396880	 Galearis spectabilis 		 Orchidaceae	A.J. Pieters	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
397097	1343580 Pogonia ophioglossoides 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 06/29/1861
397101	1343578 Pogonia ophioglossoides 		 Orchidaceae	Carl D. LaRue	s.n.: 06/26/1915
397102	 Pogonia ophioglossoides 		 Orchidaceae	Louis K. Ludwig	996: 06/26/1940
397104	 Pogonia ophioglossoides 		 Orchidaceae	H.C. Schoepfle	s.n.: 06/16/1896
397108	1343579 Pogonia ophioglossoides 		 Orchidaceae	Volney M. Spalding	s.n.: 06/19/1892
397109	1343581 Pogonia ophioglossoides 		 Orchidaceae	Branson A. Walpole	s.n.: 06/28/1918
397110	 Pogonia ophioglossoides 		 Orchidaceae	Branson A. Walpole	145: 06/08/19
397111	 Pogonia ophioglossoides 		 Orchidaceae	Branson A. Walpole	s.n.: 07/18/1920
397298	1343658 Spiranthes cernua 		 Orchidaceae	Peter W. Fritsch	95: 09/01/1985
397519	1352896 Viola sagittata 		 Violaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
397521	 Viola sagittata 		 Violaceae	John H. Ehlers	3836: 05/21/1929
397524	 Viola sagittata 		 Violaceae	Lois Jotter	505: 05/15/1936
397526	1352898 Viola sagittata 		 Violaceae	Julius P. Romein	s.n.: 05/07/1915
397617	1343733 Spiranthes cernua 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 08/28/1861
397621	1343681 Spiranthes cernua 		 Orchidaceae	Lewis E. Foote	s.n.: 08/14/1862
397622	1343722 Spiranthes cernua 		 Orchidaceae	Carl O. Grassl	8082: 10/08/1937
397625	1343716 Spiranthes cernua 		 Orchidaceae	F.G. Gustafson	s.n.: 09/04/1922
397627	1343724 Spiranthes cernua 		 Orchidaceae	Carl D. LaRue	s.n.: 09/24/1915
397628	 Spiranthes cernua 		 Orchidaceae	Louis K. Ludwig	868: 09/06/1939
397629	 Spiranthes cernua 		 Orchidaceae	Louis K. Ludwig	1775: 08/24/1942
397631	1343715 Spiranthes cernua 		 Orchidaceae	A.J. Pieters	102: 09/27/1892
397767	1343810 Spiranthes lacera 		 Orchidaceae	Elizabeth C. Almendinger	s.n.: 09/02/1861
397768	1343788 Spiranthes lacera 		 Orchidaceae	Lewis E. Foote	s.n.: 08/12/1862
397769	1343811 Spiranthes lacera 		 Orchidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
397791	1343814 Spiranthes lucida 		 Orchidaceae	Lewis E. Foote	s.n.: 06/10/1862
397792	1343817 Spiranthes lucida 		 Orchidaceae	John Wright	s.n.: 07/02/1838
398177	 Lemna minor 		 Araceae	Carl O. Grassl	1532: 08/29/1933
398252	1474427 Lemna turionifera 		 Araceae	Carl O. Grassl	1532: 08/29/1933
398431	1474360 Lemna trisulca 		 Araceae	Elizabeth C. Almendinger	s.n.: 07/00/1870
398433	1289939 Lemna trisulca 		 Araceae	Carl O. Grassl	5274: 05/25/1933
398434	1474372 Lemna trisulca 		 Araceae	Mark W. Harrington	s.n.: 07/02/1870
398438	 Lemna trisulca 		 Araceae	Louis K. Ludwig	1689: 06/02/1942
398439	 Lemna trisulca 		 Araceae	C. Marvin Rogers	3497: 05/17/1946
398626	1474477 Spirodela polyrhiza 		 Araceae	Lewis E. Foote	s.n.: 00/00/1862
398629	1289938 Spirodela polyrhiza 		 Araceae	Carl O. Grassl	5274: 05/25/1933
398631	1289957 Spirodela polyrhiza 		 Araceae	Carl O. Grassl	7888: 07/05/1937
398634	1474479 Spirodela polyrhiza 		 Araceae	Nathan H. Winchell	s.n.: 07/25/1862
398681	1289873 Wolffia columbiana 		 Araceae	Carl O. Erlanson	s.n.: 10/19/1921
398683	1289959 Wolffia columbiana 		 Araceae	Carl O. Grassl	7888: 07/05/1937
398685	 Wolffia columbiana 		 Araceae	Frederick J. Hermann	6979: 08/16/1935
398686	1289638 Wolffia columbiana 		 Araceae	Frederick J. Hermann	6979: 08/16/1935
398687	1289881 Wolffia columbiana 		 Araceae	Frederick J. Hermann	7337: 09/22/1935
398689	1289882 Wolffia columbiana 		 Araceae	R.L. Steere	376: 11/24/1946
398720	 Wolffia borealis 		 Araceae	Frederick J. Hermann	6975: 08/16/1935
398721	1289656 Wolffia borealis 		 Araceae	Frederick J. Hermann	s.n.: 08/24/1935
398722	1289880 Wolffia borealis 		 Araceae	Frederick J. Hermann	7337: 09/22/1935
398724	1289867 Wolffia borealis 		 Araceae	R.L. Steere	375: 10/28/1946
398822	 Turritis glabra 		 Brassicaceae	John A. Churchill, M.D.	s.n.: 05/20/1958
399255	1341372 Tradescantia ohiensis 		 Commelinaceae	Peter W. Fritsch	7: 07/20/1985
399345	1344222 Tradescantia ohiensis 		 Commelinaceae	Not evident	s.n.: 06/28/1862
399347	 Tradescantia ohiensis 		 Commelinaceae	Edgar S. Anderson & Ruth Peck	s.n.: 06/29/1937
399370	1344194 Tradescantia ohiensis 		 Commelinaceae	Donald S. Dean	LC-1: 06/04/1952
399371	1491653 Tradescantia ohiensis 		 Commelinaceae	Lewis E. Foote	s.n.: 06/16/1862
399374	1344227 Tradescantia ohiensis 		 Commelinaceae	Carl D. LaRue	s.n.: 00/00/00
401308	1349560 Betula pumila 		 Betulaceae	Edwin B. Mains	334: 06/04/1913
401309	1349594 Betula pumila 		 Betulaceae	A.J. Pieters	s.n.: 05/15/1893
401310	1349593 Betula pumila 		 Betulaceae	A.J. Pieters	s.n.: 04/26/1894
401510	1355223 Dirca palustris 		 Thymelaeaceae	Elizabeth C. Almendinger	s.n.: 05/08/1862
401511	1355224 Dirca palustris 		 Thymelaeaceae	John H. Ehlers	1462: 05/00/1921
401512	1355226 Dirca palustris 		 Thymelaeaceae	John H. Ehlers	1891: 05/24/1922
401513	1355225 Dirca palustris 		 Thymelaeaceae	Frederick J. Hermann	2409: 05/27/1931
401514	1355222 Dirca palustris 		 Thymelaeaceae	Carl D. LaRue	s.n.: 09/16/1915
401566	1349748 Carpinus caroliniana 		 Betulaceae	Peter W. Fritsch	56: 08/11/1985
401647	1481313 Carpinus caroliniana 		 Betulaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
401648	1349773 Carpinus caroliniana 		 Betulaceae	Elizabeth C. Almendinger	s.n.: 04/23/1860
401649	1349769 Carpinus caroliniana 		 Betulaceae	Carl O. Erlanson	2: 05/13/1924
401650	1349772 Carpinus caroliniana 		 Betulaceae	Carl O. Erlanson	847: 10/05/1924
401652	1481309 Carpinus caroliniana 		 Betulaceae	A.J. Pieters	29: 05/06/1892
401653	1349719 Carpinus caroliniana 		 Betulaceae	A.J. Pieters	s.n.: 08/10/1892
401654	 Carpinus caroliniana 		 Betulaceae	C. Marvin Rogers	3985: 08/24/1946
401655	1349717 Carpinus caroliniana 		 Betulaceae	Volney M. Spalding	s.n.: 04/29/1880
401657	1349706 Carpinus caroliniana 		 Betulaceae	John Wright	s.n.: 06/29/1838
401742	1349823 Corylus americana 		 Betulaceae	Elizabeth C. Almendinger	s.n.: 03/00/1861
401743	1349796 Corylus americana 		 Betulaceae	S.H. Emerson	s.n.: 10/00/1924
401744	1349822 Corylus americana 		 Betulaceae	S.H. Emerson	s.n.: 10/00/1924
401745	1349818 Corylus americana 		 Betulaceae	Carl O. Erlanson	984: 08/23/1925
401746	1491567 Corylus americana 		 Betulaceae	Lewis E. Foote	s.n.: 04/15/1862
401747	1349812 Corylus americana 		 Betulaceae	F.G. Gustafson	s.n.: 08/20/1924
401749	1349813 Corylus americana 		 Betulaceae	Cyrus L. Lundell	8302: 10/04/1939
401750	1349825 Corylus americana 		 Betulaceae	A.J. Pieters	s.n.: 08/10/1892
401751	 Corylus americana 		 Betulaceae	C. Marvin Rogers	3615: 05/28/1946
401869	 Elaeagnus angustifolia 		 Elaeagnaceae	Melinda C. Denton	1085: 06/15/1966
401873	1355255 Elaeagnus angustifolia 		 Elaeagnaceae	Anton A. Reznicek	7497: 09/18/1984
402120	1349902 Ostrya virginiana 		 Betulaceae	Elizabeth C. Almendinger	s.n.: 04/23/1860
402122	1349916 Ostrya virginiana 		 Betulaceae	F.G. Gustafson	s.n.: 08/20/1924
402128	1349938 Ostrya virginiana 		 Betulaceae	A.B. Lyons, M.D.	s.n.: 00/00/00
402129	1349970 Ostrya virginiana 		 Betulaceae	A.J. Pieters	s.n.: 05/07/1913
402131	 Ostrya virginiana 		 Betulaceae	C. Marvin Rogers	4049: 05/03/1947
402360	1353225 Fagus grandifolia 		 Fagaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
402361	1354050 Fagus grandifolia 		 Fagaceae	John H. Ehlers	823: 05/19/1919
402362	 Fagus grandifolia 		 Fagaceae	John H. Ehlers	823: 05/19/1919
402363	1354044 Fagus grandifolia 		 Fagaceae	Mark W. Harrington	s.n.: 00/00/00
402365	1354051 Fagus grandifolia 		 Fagaceae	Frederick J. Hermann	101: 05/06/1926
402366	1354035 Fagus grandifolia 		 Fagaceae	A.B. Lyons, M.D.	s.n.: 00/00/00
402372	 Fagus grandifolia 		 Fagaceae	C. Marvin Rogers	3487: 05/21/1946
402573	1358689 Arabis pycnocarpa 		 Brassicaceae	Elizabeth C. Almendinger	s.n.: 06/01/1860
402574	1491618 Arabis pycnocarpa 		 Brassicaceae	Lewis E. Foote	s.n.: 06/03/1862
402638	1355398 Shepherdia canadensis 		 Elaeagnaceae	Elizabeth C. Almendinger	s.n.: 05/12/1862
402639	 Shepherdia canadensis 		 Elaeagnaceae	Stewart H. Burnham	s.n.: 06/10/1898
402640	1355402 Shepherdia canadensis 		 Elaeagnaceae	Fred R. Clark	s.n.: 05/04/1920
402641	1491568 Shepherdia canadensis 		 Elaeagnaceae	Lewis E. Foote	s.n.: 04/18/1862
402642	1355400 Shepherdia canadensis 		 Elaeagnaceae	Mark W. Harrington	s.n.: 05/23/1870
402643	1355399 Shepherdia canadensis 		 Elaeagnaceae	Louis H. Jordal	3338: 10/14/1949
402644	1355403 Shepherdia canadensis 		 Elaeagnaceae	Calvin H. Kauffman	s.n.: 04/20/1908
402645	1355401 Shepherdia canadensis 		 Elaeagnaceae	Miss H.L. Merrow	97: 05/04/1892
402646	1355405 Shepherdia canadensis 		 Elaeagnaceae	A.J. Pieters	s.n.: 04/26/1893
402714	1354137 Quercus alba 		 Fagaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
402717	1354136 Quercus alba 		 Fagaceae	A.J. Pieters	s.n.: 05/21/1894
402733	 Quercus alba 		 Fagaceae	Stewart H. Burnham	s.n.: 09/29/1898
402777	 Quercus bicolor 		 Fagaceae	C. Marvin Rogers	3848: 06/04/1946
402802	 Quercus bicolor 		 Fagaceae	Frederick J. Hermann	8387: 09/07/1936
402803	1354172 Quercus bicolor 		 Fagaceae	A.J. Pieters	s.n.: 08/22/1914
402899	 Quercus ellipsoidalis 		sens. Lat. Fagaceae	Charles A. Davis	Tree No. 1: 12/15/1905
402900	 Quercus ellipsoidalis 		s.l. Fagaceae	Charles A. Davis	Tree No. 2: 12/15/1905
402901	1355979 Quercus ellipsoidalis 		complex Fagaceae	A.J. Pieters	3: 08/22/1914
402958	1356004 Quercus imbricaria 		 Fagaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
402963	 Quercus imbricaria 		 Fagaceae	Stewart H. Burnham	s.n.: 10/06/1898
402964	 Quercus imbricaria 		 Fagaceae	Stewart H. Burnham	s.n.: 10/06/1898
402965	1356007 Quercus imbricaria 		 Fagaceae	John H. Ehlers	3598: 10/16/1927
402968	1353164 Quercus imbricaria 		 Fagaceae	Oliver A. Farwell	s.n.: 05/30/1910
402971	 Quercus imbricaria 		 Fagaceae	Carl D. LaRue	s.n.: 09/18/1915
402972	1356006 Quercus imbricaria 		 Fagaceae	Carl D. LaRue	s.n.: 09/18/1915
402973	1356005 Quercus imbricaria 		 Fagaceae	A.B. Lyons, M.D.	s.n.: 00/00/00
402975	1356012 Quercus imbricaria 		 Fagaceae	A.J. Pieters	s.n.: 08/03/1913
402976	1356014 Quercus imbricaria 		 Fagaceae	George B. Sudworth	s.n.: 09/17/1890
402978	1356010 Quercus imbricaria 		 Fagaceae	John M. Sutton	s.n.: 07/23/1914
403115	1356044 Quercus macrocarpa 		 Fagaceae	Not evident	s.n.: 09/00/1879
403116	1353163 Quercus macrocarpa 		 Fagaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
403118	1356062 Quercus macrocarpa 		 Fagaceae	George B. Sudworth	s.n.: 09/00/1888
403202	1356098 Quercus muehlenbergii 		 Fagaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
403204	1356096 Quercus muehlenbergii 		 Fagaceae	Delia S. Bailey	s.n.: 06/18/1893
403205	1356093 Quercus muehlenbergii 		 Fagaceae	Eileen W. Erlanson	105: 06/06/1924
403206	1356097 Quercus muehlenbergii 		 Fagaceae	Mark W. Harrington	s.n.: 09/00/1868
403209	1356101 Quercus muehlenbergii 		 Fagaceae	A.B. Lyons, M.D.	s.n.: 00/00/1867
403212	1356095 Quercus muehlenbergii 		 Fagaceae	H.W. Thomson	s.n.: 10/20/1903
403255	 Quercus palustris 		 Fagaceae	John H. Ehlers	3594: 10/08/1927
403256	1356140 Quercus palustris 		 Fagaceae	John H. Ehlers	3594: 10/08/1927
403257	1356139 Quercus palustris 		 Fagaceae	John H. Ehlers	3595: 10/08/1927
403258	1356141 Quercus palustris 		 Fagaceae	F. Matheson	s.n.: 07/00/1910
403310	 Quercus prinoides 		 Fagaceae	Stewart H. Burnham	s.n.: 06/09/1899
403541	1354454 Quercus rubra 		 Fagaceae	Carl O. Erlanson	864: 10/14/1924
403671	1355447 Decodon verticillatus 		 Lythraceae	Peter W. Fritsch	73: 08/19/1985
403784	1355513 Lythrum alatum 		 Lythraceae	George B. Sudworth	198: 07/15/1884
403859	1354534 Quercus velutina 		 Fagaceae	Not evident	s.n.: 05/05/1880
403861	 Quercus velutina 		 Fagaceae	Stewart H. Burnham	s.n.: 09/29/1898
403862	1356634 Quercus velutina 		 Fagaceae	Charles A. Davis	s.n.: 09/05/1879
